"replication","weight","speed","cspeed","surface_roughness"
1,0.075,2,"medium",500.325629018134
2,0.075,2,"medium",503.653561507705
3,0.075,2,"medium",501.658253092424
1,0.1,2,"medium",496.621549563746
2,0.1,2,"medium",508.163493862802
3,0.1,2,"medium",513.224732260511
1,0.125,2,"medium",511.438324637913
2,0.125,2,"medium",520.920623490359
3,0.125,2,"medium",518.176934398942
1,0.15,2,"medium",493.286905808012
2,0.15,2,"medium",501.384111607111
3,0.15,2,"medium",496.102937828785
1,0.175,2,"medium",495.72632638154
2,0.175,2,"medium",482.79945291768
3,0.175,2,"medium",491.592235933163
1,0.2,2,"medium",501.071807795479
2,0.2,2,"medium",491.731338295209
3,0.2,2,"medium",491.337257151806
1,0.225,2,"medium",493.441191121894
2,0.225,2,"medium",489.883434985109
3,0.225,2,"medium",481.157197586649
1,0.25,2,"medium",482.901751495346
2,0.25,2,"medium",493.701997621048
3,0.25,2,"medium",479.197653076805
1,0.275,2,"medium",489.361665312007
2,0.275,2,"medium",483.684514739814
3,0.275,2,"medium",488.340111286725
1,0.3,2,"medium",484.019124799817
2,0.3,2,"medium",487.843775573064
3,0.3,2,"medium",492.136985778256
1,0.325,2,"medium",487.910004912804
2,0.325,2,"medium",471.969837402012
3,0.325,2,"medium",476.302397003668
1,0.35,2,"medium",475.660086403768
2,0.35,2,"medium",467.225815505908
3,0.35,2,"medium",479.549944708051
1,0.375,2,"medium",479.192274746668
2,0.375,2,"medium",456.784359397448
3,0.375,2,"medium",477.545047023075
1,0.4,2,"medium",477.222668764843
2,0.4,2,"medium",468.035291686247
3,0.4,2,"medium",479.22551816906
1,0.425,2,"medium",480.972335200864
2,0.425,2,"medium",475.005881969125
3,0.425,2,"medium",473.332054730022
1,0.45,2,"medium",473.133678979465
2,0.45,2,"medium",462.236944916759
3,0.45,2,"medium",464.191921530779
1,0.475,2,"medium",453.306241615234
2,0.475,2,"medium",474.898084735381
3,0.475,2,"medium",459.848869098478
1,0.5,2,"medium",468.048969430037
2,0.5,2,"medium",445.943057849253
3,0.5,2,"medium",464.291575748882
1,0.025,3,"high",123.539491015026
2,0.025,3,"high",146.347705963915
3,0.025,3,"high",150.789995264898
1,0.05,3,"high",140.69858544863
2,0.05,3,"high",131.066799342497
3,0.05,3,"high",133.067325499523
1,0.075,3,"high",130.695357448727
2,0.075,3,"high",141.139381779519
3,0.075,3,"high",138.28423745585
1,0.1,3,"high",123.973853262999
2,0.1,3,"high",129.817008696693
3,0.1,3,"high",127.280289076247
1,0.125,3,"high",120.905373931922
2,0.125,3,"high",136.217043150238
3,0.125,3,"high",124.230331474563
1,0.15,3,"high",114.787136109107
2,0.15,3,"high",121.968169646995
3,0.15,3,"high",116.545058721419
1,0.175,3,"high",113.618771912099
2,0.175,3,"high",131.963107865946
3,0.175,3,"high",107.327816561616
1,0.2,3,"high",103.743286508191
2,0.2,3,"high",119.752953015588
3,0.2,3,"high",102.742686665668
1,0.225,3,"high",122.906779523081
2,0.225,3,"high",123.947018759312
3,0.225,3,"high",111.492376587698
1,0.25,3,"high",110.216767606178
2,0.25,3,"high",124.244031872508
3,0.25,3,"high",131.434311028353
1,0.275,3,"high",80.1705005580021
2,0.275,3,"high",104.35798836063
3,0.275,3,"high",103.795243518014
1,0.3,3,"high",111.086837390835
2,0.3,3,"high",96.1629592833792
3,0.3,3,"high",114.654436076619
1,0.325,3,"high",91.6097207711395
2,0.325,3,"high",90.6605060011001
3,0.325,3,"high",108.227439943097
1,0.35,3,"high",92.8767303135738
2,0.35,3,"high",98.7504440190315
3,0.35,3,"high",102.631774251272
1,0.375,3,"high",75.8673603762164
2,0.375,3,"high",90.4276167725542
3,0.375,3,"high",95.7417508918987
1,0.4,3,"high",84.763459341036
2,0.4,3,"high",88.8851877550947
3,0.4,3,"high",85.9563125966138
1,0.425,3,"high",84.9909268879836
2,0.425,3,"high",99.7820285524127
3,0.425,3,"high",80.0283375839069
1,0.45,3,"high",89.8651754684451
2,0.45,3,"high",68.501650355734
3,0.45,3,"high",58.5621698093318
1,0.475,3,"high",80.7426281537356
2,0.475,3,"high",81.2282024369094
3,0.475,3,"high",79.8859692853982
1,0.5,3,"high",78.90063098535
2,0.5,3,"high",91.2367299593372
3,0.5,3,"high",80.5065141912496
